index	label	prediction	l0	l1	l2	linf
110970	1	1	1	0.057013107922912254	0.057013107922912254	0.057013107922912254
264051	1	1	1	0.0017631768104722917	0.0017631768104722917	0.0017631768104722917
90207	1	1	1	0.0093685683083512	0.0093685683083512	0.0093685683083512
216696	0	0	5	0.5530185119130866	0.260096928285261	0.15390812612419702
62041	0	0	2	0.17720350891570957	0.12661148148689222	0.10144553618843688
13425	0	0	4	0.27320507332826505	0.14141066971524013	0.08592090235546035
22028	0	0	5	0.47809259126036135	0.21775793723943185	0.11911148051391862
238110	1	1	1	0.022216755674518196	0.022216755674518196	0.022216755674518196
38652	0	0	1	0.09073889807280511	0.09073889807280511	0.09073889807280511
860	0	0	3	0.3220929805295149	0.18995553273944282	0.1244647995717344
66291	0	0	1	0.04470035417558893	0.04470035417558893	0.04470035417558893
108804	1	1	1	0.060225099357601675	0.060225099357601675	0.060225099357601675
111424	1	1	2	0.219379644157272	0.15615037254537942	0.12232360042826551
94314	1	1	1	0.006156576873661668	0.006156576873661668	0.006156576873661668
366	0	0	2	0.19128435169035096	0.13542395752441042	0.10037486381156313
63682	0	0	3	0.27798942574113633	0.16192991265811804	0.10519285096359732
166122	0	0	1	0.019539532976445395	0.019539532976445395	0.019539532976445395
150809	0	0	1	0.03399349443254818	0.03399349443254818	0.03399349443254818
203469	0	0	1	0.07093139593147746	0.07093139593147746	0.07093139593147746
31706	0	0	4	0.304816273240931	0.1575600418569539	0.09448621284796566
244867	1	1	1	0.03223042228229231	0.03223042228229231	0.03223042228229231
110115	1	1	1	0.09609233704496789	0.09609233704496789	0.09609233704496789
6366	0	0	4	0.3150073825550448	0.17674123045498188	0.12071747623126328
206005	0	0	1	0.03667015396145612	0.03667015396145612	0.03667015396145612
7626	0	0	1	0.096092217130621	0.096092217130621	0.096092217130621
218656	0	0	1	0.06183075353319056	0.06183075353319056	0.06183075353319056
178303	0	0	2	0.09630236749473142	0.06814602263607826	0.04999609683091988
64383	0	0	1	0.05647765610278377	0.05647765610278377	0.05647765610278377
21605	0	0	1	0.016327763169164844	0.016327763169164844	0.016327763169164844
197806	0	0	2	0.1408829082154347	0.10432400891430083	0.09234467216274089
50819	0	0	3	0.2766213070661368	0.16809705488559312	0.1330301100642397
219495	1	1	1	0.02061075995717354	0.02061075995717354	0.02061075995717354
134344	0	0	3	0.13943427684522813	0.09939745957191544	0.08324431456102788
52582	0	0	3	0.2576220593820382	0.16083544582664916	0.1153641571734475
257082	1	1	1	0.0681820636363635	0.0681820636363635	0.0681820636363635
48168	0	0	1	0.05915431563169171	0.05915431563169171	0.05915431563169171
111659	1	1	4	0.4968210804044971	0.26581563039178147	0.18013943768736618
127348	0	0	1	0.02864046017130628	0.02864046017130628	0.02864046017130628
196419	0	0	1	0.07682004689507493	0.07682004689507493	0.07682004689507493
175885	0	0	2	0.09441858204401277	0.07649329281281486	0.0736080554603854
187367	0	0	2	0.07563491276195589	0.05390065664059347	0.042558804925053484
177108	0	0	1	0.03613482205567442	0.03613482205567442	0.03613482205567442
122836	0	0	1	0.11857593554603851	0.11857593554603851	0.11857593554603851
153109	0	0	1	0.0645074130620985	0.0645074130620985	0.0645074130620985
155845	0	0	4	0.24937763656813436	0.13340115388310192	0.08859763361884376
160186	0	0	1	0.04309413683083507	0.04309413683083507	0.04309413683083507
140665	0	0	1	0.030781502997858645	0.030781502997858645	0.030781502997858645
226540	1	1	1	0.05112467858672376	0.05112467858672376	0.05112467858672376
249171	1	1	1	0.023287419486081373	0.023287419486081373	0.023287419486081373
268193	1	1	1	0.03988270856531051	0.03988270856531051	0.03988270856531051
64454	0	0	3	0.26850059475912164	0.15600700855373123	0.09983953190578154
152314	0	0	2	0.09044544796878218	0.07013482373494344	0.06557836167023556
20427	0	0	1	0.1003748723768737	0.1003748723768737	0.1003748723768737
89267	1	1	1	0.025428525481798636	0.025428525481798636	0.025428525481798636
268280	1	1	2	0.11260190640793696	0.08832395119824889	0.0833335787878787
239356	1	1	1	0.025964079014989316	0.025964079014989316	0.025964079014989316
150664	0	0	1	0.015792209635974275	0.015792209635974275	0.015792209635974275
143942	0	0	1	0.08645602119914342	0.08645602119914342	0.08645602119914342
63214	0	0	3	0.23764206710638647	0.1375835054086366	0.087526898072805
233517	1	1	1	0.057013329550321235	0.057013329550321235	0.057013329550321235
64422	0	0	1	0.05701298800856536	0.05701298800856536	0.05701298800856536
2444	0	0	4	0.38246263905759786	0.1934420836757833	0.11322282955032115
2663	0	0	4	0.32494311336166637	0.18072649075692454	0.12285880385438963
51465	0	0	4	0.3345981900306205	0.17045386399511483	0.10465751905781584
173515	0	0	2	0.11674065473197737	0.08657352098089385	0.07682004689507493
180954	0	0	1	0.06557807687366168	0.06557807687366168	0.06557807687366168
33971	0	0	1	0.07574960471092085	0.07574960471092085	0.07574960471092085
64387	0	0	2	0.15418423696710137	0.10904104435652487	0.07842626423982868
177393	0	0	1	0.08538535738758024	0.08538535738758024	0.08538535738758024
249519	1	1	1	0.0677199676659529	0.0677199676659529	0.0677199676659529
99689	1	1	3	0.30505973454881835	0.1769964621604834	0.1153642770877944
1950	0	0	5	0.7131695190961835	0.32792055213245463	0.19031062398286935
18191	0	0	1	0.043094358458244164	0.043094358458244164	0.043094358458244164
163859	0	0	1	0.06611340877944316	0.06611340877944316	0.06611340877944316
56147	0	0	2	0.0757345944192564	0.06547732094403654	0.0645076346895076
41321	0	0	1	0.06932562184154178	0.06932562184154178	0.06932562184154178
41994	0	0	3	0.29851464572196407	0.1846304502228457	0.1276766100642398
77833	1	1	2	0.07982670945666015	0.05669017423725122	0.04362981027837265
5035	0	0	3	0.21384226082826024	0.1549454014520604	0.13636394242424243
128522	0	0	1	0.06557807687366168	0.06557807687366168	0.06557807687366168
114109	1	1	3	0.3361089850841503	0.19863472068192412	0.14641352762312637
10817	0	0	3	0.20703826883474707	0.12056596553828136	0.08163824710920764
136796	0	0	1	0.010438890578158389	0.010438890578158389	0.010438890578158389
4076	0	0	2	0.1420822110440596	0.10678478419603295	0.096627359528908
94120	1	1	2	0.06384259763124772	0.04920949828602159	0.04577113790149889
25599	0	0	2	0.1573962284017909	0.11137358403734791	0.08163825567451821
119015	0	0	1	0.05594210256959309	0.05594210256959309	0.05594210256959309
194684	0	0	1	0.07093139593147746	0.07093139593147746	0.07093139593147746
238687	1	1	1	0.018469432334047187	0.018469432334047187	0.018469432334047187
246393	1	1	1	0.02435808329764455	0.02435808329764455	0.02435808329764455
34307	0	0	1	0.08163825567451821	0.08163825567451821	0.08163825567451821
215320	0	0	2	0.16150902624963448	0.11474150015674449	0.08859763361884376
44912	0	0	3	0.14643278059228249	0.09187283223323717	0.07574959614561028
188931	0	0	1	0.08431469357601706	0.08431469357601706	0.08431469357601706
71681	0	0	1	0.05273033276231265	0.05273033276231265	0.05273033276231265
107912	1	1	2	0.11669661447452068	0.08324454413045483	0.06611375032119915
28948	0	0	3	0.22547657659546355	0.13034613763738187	0.07949691948608129
60947	0	0	1	0.051124337044967993	0.051124337044967993	0.051124337044967993
63620	0	0	1	0.09769821284796576	0.09769821284796576	0.09769821284796576
169361	0	0	1	0.0372054858672376	0.0372054858672376	0.0372054858672376
83887	1	1	1	0.019539874518201272	0.019539874518201272	0.019539874518201272
222778	1	1	1	0.05433667002141329	0.05433667002141329	0.05433667002141329
1278	0	0	1	0.06076031134903637	0.06076031134903637	0.06076031134903637
