index	label	prediction	l0	l2	cost
370	1	1	3	0.0001580544842767835	0.0002446
56	1	1	4	0.001026677023216162	0.004266899999999999
149	1	1	4	0.007255422176551824	0.009894
247	1	1	7	0.0003043393336392784	0.0006774999999999992
97	1	1	2	0.0003576633612770533	0.0014469999999999995
129	1	1	4	0.0035325063354507942	0.008464099999999999
8	1	1	3	0.013545287504146969	0.017896099999999998
64	1	1	1	0.14203620000000003	0.5681448000000001
364	1	1	1	0.07075319999999996	0.28301279999999984
373	1	1	8	0.05581499760610943	0.09334920000000002
125	1	1	8	0.03546063115583253	0.0743448
256	1	1	1	0.07075319999999996	0.28301279999999984
151	1	1	3	0.00857173759631033	0.0086076
480	1	1	7	0.018121126760772904	0.039631099999999995
418	1	1	2	0.004474725486552219	0.0057494
312	1	1	3	0.00010398446999432175	0.0001641
250	1	1	5	0.002374408073604873	0.006145299999999999
414	1	1	3	0.008571959739172835	0.0086541
12	1	1	1	0.07075319999999996	0.28301279999999984
278	1	1	4	0.001070333130385115	0.004420899999999999
207	1	1	6	0.008557093188694395	0.009026300000000001
420	1	1	3	0.0003225752935362533	0.0013187000000000001
0	1	1	1	0.07075319999999996	0.28301279999999984
468	1	1	5	0.0010443302159757707	0.004475099999999999
27	1	1	3	0.008629875678131175	0.0125902
282	1	1	3	0.125998361092992	0.1299006
289	1	1	7	0.002663202326147978	0.004062500000000004
416	1	1	4	0.002002800204713391	0.008163400000000001
306	1	1	5	0.0003789338992489324	0.0016462000000000007
30	1	1	3	0.008571959739172835	0.0086541
181	1	1	3	0.09023407823416828	0.2219207
235	1	1	8	0.001692765361767543	0.0075252
50	1	1	3	0.003033817005028484	0.0044607
166	1	1	1	0.07075319999999996	0.28301279999999984
253	1	1	7	0.11020476575960768	0.16944789999999998
208	1	1	7	0.02016658126654094	0.047844399999999995
294	1	1	2	0.0015623084618602043	0.006924199999999995
272	1	1	6	0.05412291056281065	0.08505530000000004
162	1	1	5	0.00799648126990866	0.0137896
111	1	1	6	0.05412291056281065	0.08505530000000004
89	1	1	7	0.00034483710647202685	0.0010197
131	1	1	3	0.00857173759631033	0.0086076
213	1	1	5	0.000983705596202441	0.0040326
66	1	1	8	0.007818162665869774	0.0108451
227	1	1	3	4.2632382058712136e-05	6.160000000000002e-05
449	1	1	1	0.14203620000000003	0.5681448000000001
180	1	1	6	0.05412291056281065	0.08505530000000004
430	1	1	5	0.0006617512372485599	0.0027435999999999993
165	1	1	1	0.07075319999999996	0.28301279999999984
120	1	1	4	0.003245679344913789	0.0049209
459	1	1	1	0.07075319999999996	0.28301279999999984
109	1	1	5	0.054121969283739114	0.08473610000000004
185	1	1	2	0.0002640524190383417	0.00028440000000000003
299	1	1	1	0.07075319999999996	0.28301279999999984
41	1	1	4	0.004727202276188317	0.017583
403	1	1	4	0.0010755208087247774	0.004496899999999999
473	1	1	5	0.054121969283739114	0.08473610000000004
490	1	1	1	0.07075319999999996	0.28301279999999984
313	1	1	1	0.0009822	0.0039288
330	1	1	5	0.0541227205386056	0.08497760000000004
126	1	1	2	3.774824499231718e-05	5.759999999999999e-05
286	1	1	1	0.07075319999999996	0.28301279999999984
401	1	1	1	0.07075319999999996	0.28301279999999984
456	1	1	8	0.04255911583339109	0.07708920000000005
176	1	1	7	0.0006767005467708739	0.003039799999999999
434	1	1	5	0.0010558196578961767	0.004359599999999999
384	1	1	3	4.2696252762976754e-05	6.209999999999998e-05
274	1	1	1	0.14203620000000003	0.5681448000000001
402	1	1	5	0.00013941628312360083	0.0006812000000000004
238	1	1	7	0.00047738881428035173	0.0014932000000000036
146	1	1	8	0.016260252049706977	0.030935599999999997
224	1	1	4	0.008113738198882189	0.0156554
409	1	1	6	0.001507113993697889	0.0067372000000000005
68	1	1	1	0.0008091999999999999	0.0032367999999999997
186	1	1	8	0.03214644294117158	0.10649360000000001
96	1	1	3	0.00010398446999432175	0.0001641
33	1	1	8	0.0005272258718993217	0.0014086999999999997
477	1	1	8	0.009670223067230666	0.0424235
295	1	1	6	0.02016692554506016	0.04785129999999999
447	1	1	3	0.008764516938770783	0.008965099999999998
177	1	1	1	0.07075319999999996	0.28301279999999984
328	1	1	6	0.00020527929754361496	0.0005963000000000001
377	1	1	1	0.07075319999999996	0.28301279999999984
405	1	1	5	0.0012446571013737077	0.005671600000000001
334	1	1	4	0.001070333130385115	0.004420899999999999
55	1	1	1	0.14203620000000003	0.5681448000000001
59	1	1	1	1.820000000000001e-05	1.820000000000001e-05
78	1	1	4	0.0014646042503010837	0.0062429999999999986
194	1	1	4	0.00017508643579672298	0.0002498
443	1	1	5	0.5396468478147538	0.7553041
308	1	1	5	0.0009711997992174422	0.0040871
4	1	1	3	0.00857173759631033	0.0086076
37	1	1	5	0.0002419001860272125	0.000531
72	1	1	1	0.07075319999999996	0.28301279999999984
107	1	1	6	0.004349712121508732	0.0060479
259	1	1	1	0.14203620000000003	0.5681448000000001
378	1	1	1	0.07075319999999996	0.28301279999999984
355	1	1	6	0.02016692554506016	0.04785129999999999
407	1	1	4	0.008569106788924969	0.0108759

attacked 99/100 points, average l0 distortion:3.969697, average l1 distortion:0.039451,  average l2 distortion:0.034429, average linf distortion:0.033346, acc:0.990000
average weighted l1 distortion: 0.09889819292929292
total time:4972.344622
